2024-02-15T02:47:55.470138Z [warning  ] No state was found, complete import.
2024-02-15T02:47:55.961532Z [info     ] INFO Sending version information to singer.io. To disable sending anonymous usage data, set the config parameter "disable_collection" to true cmd_type=elb consumer=True name=target-csv producer=False stdio=stderr string_id=target-csv
2024-02-15T02:47:56.192244Z [info     ] Could not append type because the JSON schema for the dictionary `{'oneOf': [{'type': ['number']}, {'type': ['string']}, {'type': ['boolean']}]}` appears to be invalid. cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.192869Z [info     ] Could not append type because the JSON schema for the dictionary `{'oneOf': [{'type': ['string']}, {'type': 'array', 'items': {'type': ['string']}}]}` appears to be invalid. cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.536587Z [info     ] 2024-02-14 23:47:56,536 | INFO     | tap-postgres.information_schema-_pg_foreign_data_wrappers | Beginning full_table sync of 'information_schema-_pg_foreign_data_wrappers'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.537483Z [info     ] 2024-02-14 23:47:56,536 | INFO     | tap-postgres.information_schema-_pg_foreign_data_wrappers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.595967Z [info     ] 2024-02-14 23:47:56,595 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.05842947959899902, "tags": {"stream": "information_schema-_pg_foreign_data_wrappers", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.596740Z [info     ] 2024-02-14 23:47:56,595 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "information_schema-_pg_foreign_data_wrappers", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.597207Z [info     ] 2024-02-14 23:47:56,596 | INFO     | tap-postgres.information_schema-_pg_foreign_servers | Beginning full_table sync of 'information_schema-_pg_foreign_servers'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.597832Z [info     ] 2024-02-14 23:47:56,596 | INFO     | tap-postgres.information_schema-_pg_foreign_servers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.647696Z [info     ] 2024-02-14 23:47:56,608 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.011226177215576172, "tags": {"stream": "information_schema-_pg_foreign_servers", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.648168Z [info     ] 2024-02-14 23:47:56,608 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "information_schema-_pg_foreign_servers", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.648608Z [info     ] 2024-02-14 23:47:56,609 | INFO     | tap-postgres.information_schema-_pg_foreign_table_columns | Beginning full_table sync of 'information_schema-_pg_foreign_table_columns'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.649023Z [info     ] 2024-02-14 23:47:56,609 | INFO     | tap-postgres.information_schema-_pg_foreign_table_columns | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.649353Z [info     ] 2024-02-14 23:47:56,618 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.008757829666137695, "tags": {"stream": "information_schema-_pg_foreign_table_columns", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
